musicMeta.coverMediumUrl,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.playUrl,musicMeta.musicId,text
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/bbf2bcdfbd461a7181d11ff3b86b1766~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=428b1c9e&x-expires=1752447600&x-signature=JyT%2B1x%2Be4fSKWZ%2BNfB44DvlAVdU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,Brie,TRUE,,https://v16m.tiktokcdn-us.com/57b6df0aec57b32d58c4b17535a09ac5/6871f58f/video/tos/useast8/tos-useast8-v-27dcd7-tx2/oIAAyaEEEEAoGGcfk5FVwrBDeoaXpUCdDBOJA4/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3NoZnY5cjRoNDMzaTU8NEBpM3NoZnY5cjRoNDMzaTU8NEBjMGU0MmRrYWxhLS1kMTJzYSNjMGU0MmRrYWxhLS1kMTJzcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00050000,7.52577E+18,Hope everyone gets the labubu they want 👀#Popmart #Labubu #Blindbox #blindboxopening #SecretEdition #PulledSecret #unboxing #mysticpull #fyp #tiktokdaily #foryou #solucky #solucky #secret #lucky
https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e944468443a91c33d2ceac4eb60e674c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7de734f5&x-expires=1752447600&x-signature=czIIE8L7osNOJrjUeho4QRPuOx4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,MONA 🌻,TRUE,,https://v16m.tiktokcdn-us.com/91c89e3afe774983cd436aa9b5dd64a8/6871f5a1/video/tos/useast5/tos-useast5-v-27dcd7-tx/oISsErUB4PAwCiHgAExBDlmAaACPx7HABiUM6/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M2VqM2s5cmZmNDMzZzU8NEBpM2VqM2s5cmZmNDMzZzU8NEBnbWZxMmQ0Y2xhLS1kMS9zYSNnbWZxMmQ0Y2xhLS1kMS9zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00050000,7.52573E+18,"Christmas in July?! Tonight on @POP MART US LOCAL was CRAZY and unexpected!! Surprise co-hosting with @spencerissweet & @Tiaaaaa and they dropped what felt like EVERYTHING and even went into overtime on their live by almost an hour! No shrimp but this was so entertaining and hilarious! 😂💖

#popmart #popmartus #labubu #blindbox #popmarthost #popmartlive #labubuthemonsters #bigintoenergy #excitingmacaron #flipwithme #hirono #crybaby #wildbutcutie #popmartusshop #popmartunboxing "
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/61c840c227489f636410cc3fd997ebec~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8f5f632d&x-expires=1752447600&x-signature=N3by5drWgtSkolkKXubeGAt5WKM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,Ebony Influences,TRUE,,https://v16m.tiktokcdn-us.com/ec72d5b498856d0ab0176ac8ae929412/6871f569/video/tos/useast5/tos-useast5-v-27dcd7-tx/oYIiIAOAmpfxJeGhBLDEe3CVmozQfIAAIgURFZ/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=anV5OHY5cjZvNDMzZzU8NEBpanV5OHY5cjZvNDMzZzU8NEBtLV9sMmRzMmxhLS1kMS9zYSNtLV9sMmRzMmxhLS1kMS9zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00048000,7.52589E+18,"POP MART Español may potentially drop the rare wing of fantasy plush doll 🤯‼️🤯🩷💜💜✨💜

#greenscreenvideo #wingoffantasy #fyp #popmart #popmartlocal #popmartespañol #popmartrestock #howtogetalabubu #labubu #labubus #labubuthemonsters #popmartglobal #labubuplush #labubupopmart "
https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/8145128d5622fe9719f343e08fd9fe00~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4afba819&x-expires=1752447600&x-signature=%2B%2Fiiudv5iKnyf2UPd9M8LuYyB4s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,♡Elena,TRUE,,https://v16m.tiktokcdn-us.com/40d508ee1a24f5fe9d8faf9e0b8138ee/6871f5bc/video/tos/useast5/tos-useast5-v-27dcd7-tx/ooDCxCBSSSAtlEEoBcFfDBgjvJaAQeEjJADiUr/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3Fkcms5cmRsNDMzZzU8NEBpM3Fkcms5cmRsNDMzZzU8NEBzLmI1MmRzNWxhLS1kMS9zYSNzLmI1MmRzNWxhLS1kMS9zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00050000,7.52584E+18,"Unboxing these is so exciting until you open an order that was so hard to get, and it turns out that @POP MART US  sent you the wrong order. Not once BUT TWICE 😭😭 WOW, what happens now? Customer service doesnt answer and those Demon Slayer pulls were Lucky Targets. So Bummed. @POP MART US SHOP #popmartfail #popmart #blindbox #blindboxfail "
https://p19-common-sg.tiktokcdn-us.com/tos-alisg-v-2774/oUZBuiB1APefCzmV7m4QCAQayAEtEA6jBhG9ig~tplv-tiktokx-cropcenter:200:200.jpeg?dr=9584&t=4d5b0474&ps=933b5bde&shp=08d74b56&shcp=81f88b70&idc=useast5,Coffee and Chords,ya-su,FALSE,カフェでボサノバを聴く休日,https://sf19.tiktokcdn-us.com/obj/tos-alisg-ve-2774/okuQDMEealNFeQWGYnElCFNazD8DCAdgQIfGsF,7.39325E+18,my luck is definitely insane😹🙏🏼 just like define insane😹🙏🏼 #blindboxopening #blindbox #blindboxunboxing #unboxing #miffy #popmart @POP MART US 
https://p16-common-sg.tiktokcdn-us.com/tos-alisg-v-2774/oUuAd8gwfCE1VFDRADZnkVBqMEBQFtAkcDAElf~tplv-tiktokx-cropcenter:200:200.jpeg?dr=9584&t=4d5b0474&ps=933b5bde&shp=08d74b56&shcp=81f88b70&idc=useast5,IS THIS LOVE (Instrumental),XG,FALSE,IS THIS LOVE,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/o06x24UNBMNiZiSWAXYAbNI5AMPrLzYA8YOWv,7.47603E+18,"I may have gotten a set of BIE 🙈 I saw HAS, BIE, a AIC Zimomo, Checkmate King Labubu, etc. tonight’s drop was crazy. Those links were lit up for sooo long I hope y’all got something!! #popmart #popmartglobal #popmartus #popmartusshop #popmartamerica #popmartblindbox #labubu #labubuthemonsters #labubuhaveaseat #labubus #labububigintoenergy #bie #bigintoenergy #labububigenergy #labubuv2 #labubuv3"
https://p16-common-sg.tiktokcdn-us.com/tos-alisg-v-2774/848970941ddc4d6dbe8a95adf6f87e19~tplv-tiktokx-cropcenter:200:200.jpeg?dr=9584&t=4d5b0474&ps=933b5bde&shp=08d74b56&shcp=81f88b70&idc=useast5,Suspenseful and tense orchestra(1318015),SoLaTiDo,FALSE,,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/aadd62c0a7834b87adcc68fca28a093a,7.14632E+18,@POP MART US LOCAL @POP MART US SHOP REALLY HAD BIE UP MOST OF THE NIGHT!!!! JULY 11TH WAS A FREE FOR ALL!!! #bigintoenergy #bie #labububigintoenergy #bigintoenergylabubu #labubu  #themonsters #labubuthemonsters #labubumacarons #macarons #labubuhaveaseat #haveaseat #has #fyp #foryoupage #foryourpage #drop #thursday #unboxing #blindbox #viral #trending #news #now #next #new #abcxyz #zimomo #announcement #alert #tiktokshop #popnow #popmart #alert #crashout #crashed #website #url #method #strategy #bigintojay 
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/836ece07bb45a18b47a377a1cf4a440e~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=89e33015&x-expires=1752447600&x-signature=Tboge8Cgp6%2F%2BU6hWrWBbrf%2FKjL8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,magnetic pluggnb remix,springs!,TRUE,,https://v16m.tiktokcdn-us.com/38e17d18e4c7be51dcfcaade4f69822c/6871f57a/video/tos/useast5/tos-useast5-ve-27dcd7c799-tx/oUasfCDA0XMBDFJLmnmpwOQUgIwBBDCMmv9VEe/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=6&rc=OGZmOTRlZjk8ZTNpZzs4Z0BpMzlxcng5cmRvcjMzODU8NEAxLTE0XzQ2XzQxXi80YmJjYSNucWBtMmRjbC1gLS1kMS1zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00090000,7.35026E+18,Finally went ahead and unboxed my new @POP MART Hacipupu Gummy Bear Vinyl Plush Pendant Blind Box set 🥹💖 @POP MART AU #hacipupu #popmart #bears #plushpendant 
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/61c840c227489f636410cc3fd997ebec~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8f5f632d&x-expires=1752447600&x-signature=N3by5drWgtSkolkKXubeGAt5WKM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,Ebony Influences,TRUE,,https://v16m.tiktokcdn-us.com/34a9bb56f35478d92717beb2eaff6c37/6871f590/video/tos/useast5/tos-useast5-v-27dcd7-tx/oAj2w4BfEiBOEJAODAipApKAB2FoPEOw0i3Bwq/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=amR1cnA5cnlkNDMzZzU8NEBpamR1cnA5cnlkNDMzZzU8NEAuYWVlMmQ0YmxhLS1kMS9zYSMuYWVlMmQ0YmxhLS1kMS9zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00050000,7.5257E+18,"POP MART is having a Labubu day part three tonight with mass drops on their TikTok live 🤯‼️🤯‼️🤯

##greenscreen##greenscreenvideo##fyp##popmart##popmartlocal##zimomo##popmartus##howtogetalabubu##popmartrestock##labubu##labubus##labubuthemonsters##zimomothemonsters##angelintheclouds##labubus#"
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/61c840c227489f636410cc3fd997ebec~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8f5f632d&x-expires=1752447600&x-signature=N3by5drWgtSkolkKXubeGAt5WKM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,original sound,Ebony Influences,TRUE,,https://v16m.tiktokcdn-us.com/ceacfc2dd69dbfe2eac7ef9f2f78b849/6871f582/video/tos/useast5/tos-useast5-v-27dcd7-tx/owExlApB0AG3yBMiiAA4PBEXKBovfNUwtEENBq/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThIKfmKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M2wzdXE5cm9rNDMzZzU8NEBpM2wzdXE5cm9rNDMzZzU8NEAvbWFfMmRjZWthLS1kMS9zYSMvbWFfMmRjZWthLS1kMS9zcw%3D%3D&vvpl=1&l=202507112340151102FF5BB3D480215F67&btag=e00050000,7.52526E+18,"POP MART added a new product return section to their app along with some Labubu plush dolls, ‼️🤯🩷✨

#greenscreenvideo #greenscreen #fyp #popmart #popmartlocal #popmartglobal #popmartus #howtogetalabubu #popmartapp #labubuthemonsters #labubu #labubus #labubudoll "
